date_time,load
2025-03-03 03:30:00,11235.4644938151
2025-03-03 03:45:00,11272.4844970703
2025-03-03 04:00:00,11601.5139241537
2025-03-03 04:15:00,11964.4368652344
2025-03-03 04:30:00,11918.9896240235
2025-03-03 04:45:00,11969.0313883464
2025-03-03 05:00:00,12054.3246500651
2025-03-03 05:15:00,12232.1630371094
2025-03-03 05:30:00,12447.6105957031
2025-03-03 05:45:00,12665.4948974609
2025-03-03 06:00:00,12470.9027750651
2025-03-03 06:15:00,12889.4687906901
2025-03-03 06:30:00,13421.3626708984
2025-03-03 06:45:00,13987.6796061198
2025-03-03 07:00:00,14601.8971598307
2025-03-03 07:15:00,15170.0930745443
2025-03-03 07:30:00,15411.9906494141
2025-03-03 07:45:00,15538.6154866537
2025-03-03 08:00:00,15573.0393961589
2025-03-03 08:15:00,15730.0397867839
2025-03-03 08:30:00,15995.8511230469
2025-03-03 08:45:00,16370.2939615885
2025-03-03 09:00:00,16910.9986653646
2025-03-03 09:15:00,17840.8097819011
2025-03-03 09:30:00,17950.8075032552
2025-03-03 09:45:00,18190.5861490885
2025-03-03 10:00:00,18014.0322916667
2025-03-03 10:15:00,18000.2845703125
2025-03-03 10:30:00,18032.0795410156
2025-03-03 10:45:00,17931.0469563802
2025-03-03 11:00:00,17721.9641601563
2025-03-03 11:15:00,17907.3038736979
2025-03-03 11:30:00,17984.2698242188
2025-03-03 11:45:00,17949.7655436198
2025-03-03 12:00:00,17754.1635904948
2025-03-03 12:15:00,17863.4975260417
2025-03-03 12:30:00,17757.0599934896
2025-03-03 12:45:00,17564.9545084635
2025-03-03 13:00:00,17489.9814615885
2025-03-03 13:15:00,17189.7395507813
2025-03-03 13:30:00,17065.4365397135
2025-03-03 13:45:00,17046.195686849
2025-03-03 14:00:00,16907.4568522136
2025-03-03 14:15:00,16935.3756998698
2025-03-03 14:30:00,17050.8447102865
2025-03-03 14:45:00,17130.1693196615
2025-03-03 15:00:00,17164.1944986979
2025-03-03 15:15:00,17136.5428059896
2025-03-03 15:30:00,17157.5650065104
2025-03-03 15:45:00,16854.7007161458
2025-03-03 16:00:00,16481.3420084635
2025-03-03 16:15:00,16109.0537109375
2025-03-03 16:30:00,15909.1475260417
2025-03-03 16:45:00,15532.7559814453
2025-03-03 17:00:00,15151.6696044922
2025-03-03 17:15:00,14758.7140787761
2025-03-03 17:30:00,14663.7785725912
2025-03-03 17:45:00,14514.4318440755
2025-03-03 18:00:00,13644.428141276
2025-03-03 18:15:00,11905.2926595052
2025-03-03 18:30:00,11917.7786376953
2025-03-03 18:45:00,12053.4967203776
2025-03-03 19:00:00,12001.9321451823
2025-03-03 19:15:00,11879.6116943359
2025-03-03 19:30:00,11832.9691650391
2025-03-03 19:45:00,11861.3363769531
2025-03-03 20:00:00,11807.3145507813
2025-03-03 20:15:00,11706.3653157552
2025-03-03 20:30:00,11541.4776367188
2025-03-03 20:45:00,11396.6721110026
2025-03-03 21:00:00,11674.3594807943
2025-03-03 21:15:00,12204.2563232422
2025-03-03 21:30:00,12169.1370768229
2025-03-03 21:45:00,12018.4293212891
2025-03-03 22:00:00,12220.69609375
2025-03-03 22:15:00,12825.3537516276
2025-03-03 22:30:00,12776.5199462891
2025-03-03 22:45:00,12633.2381591797
2025-03-03 23:00:00,12578.3520019531
2025-03-03 23:15:00,12494.9255940755
2025-03-03 23:30:00,12382.2487386068
